DATAFLOW,LAST UPDATE,freq,unit,sex,startime,acl00,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Belgium,2010,0.6,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Bulgaria,2000,1.14,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Germany,2000,0.96,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Germany,2010,1.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Estonia,2000,1.63,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Estonia,2010,1.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Greece,2010,0.4,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Spain,2000,1.23,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Spain,2010,1.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,France,2000,1.12,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,France,2010,0.8,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Italy,2000,0.70,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Italy,2010,0.5,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Lithuania,2000,1.25,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Latvia,2000,1.54,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Belgium,2000,0.16,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Belgium,2010,0.3,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Bulgaria,2000,0.08,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Germany,2000,0.35,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Germany,2010,0.4,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Estonia,2000,0.41,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Estonia,2010,0.3,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Greece,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Spain,2000,0.24,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Spain,2010,0.3,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,France,2000,0.26,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,France,2010,0.6,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Italy,2000,0.17,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Italy,2010,0.2,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Lithuania,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Household and family care and related travel,Latvia,2000,0.22,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Belgium,2000,1.01,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Belgium,2010,0.6,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Bulgaria,2000,0.19,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Germany,2000,0.56,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Germany,2010,0.6,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Estonia,2000,0.47,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Estonia,2010,0.5,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Greece,2010,0.2,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Spain,2000,1.52,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Spain,2010,0.9,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",France,2000,0.60,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",France,2010,0.9,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Italy,2000,0.30,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Italy,2010,0.2,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Lithuania,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,"Leisure, social and associative life except TV and video",Latvia,2000,0.35,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Belgium,2000,0.17,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Belgium,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Bulgaria,2000,0.03,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Germany,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Germany,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Estonia,2000,0.01,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Estonia,2010,0.2,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Greece,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Spain,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Spain,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,France,2000,0.12,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,France,2010,0.3,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Italy,2000,0.03,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Italy,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Lithuania,2000,0.02,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Television and video,Latvia,2000,0.06,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Belgium,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Belgium,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Bulgaria,2000,0.02,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Germany,2000,0.11,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Germany,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Estonia,2000,0.09,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Estonia,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Greece,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Spain,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Spain,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,France,2000,0.16,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,France,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Italy,2000,0.03,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Italy,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Lithuania,2000,0.01,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Travel to/from work/study,Latvia,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Belgium,2000,0.24,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Belgium,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Bulgaria,2000,0.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Germany,2000,0.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Germany,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Estonia,2000,0.02,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Estonia,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Greece,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Spain,2000,0.01,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Spain,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,France,2000,0.14,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,France,2010,0.3,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Italy,2000,0.08,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Italy,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Lithuania,2000,0.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Unspecified time use and travel,Latvia,2000,0.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Belgium,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Belgium,2010,100,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Bulgaria,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Germany,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Germany,2010,100,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Estonia,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Estonia,2010,100,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Greece,2010,100,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Spain,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Spain,2010,100,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,France,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,France,2010,100,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Italy,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Italy,2010,100,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Lithuania,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Total,Latvia,2000,100.00,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Belgium,2000,0.18,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Belgium,2010,0.2,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Bulgaria,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Germany,2000,0.23,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Germany,2010,0.2,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Estonia,2000,0.18,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Estonia,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Greece,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Spain,2000,0.08,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Spain,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,France,2000,0.40,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,France,2010,0.5,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Italy,2000,0.05,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Italy,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Lithuania,2000,0.15,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Eating,Latvia,2000,0.21,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Belgium,2000,97.14,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Belgium,2010,98.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Bulgaria,2000,98.45,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Germany,2000,97.78,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Germany,2010,97.4,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Estonia,2000,96.92,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Estonia,2010,97.6,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Greece,2010,99.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Spain,2000,96.92,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,Spain,2010,97.5,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:10 to 04:19,Personal care except eating,France,2000,97.30,,
